ENSMUSG00000033970	ENSMUST00000038131	ENSMUSP00000039621	ENSRNOG00000001088	ENSRNOT00000001444	ENSRNOP00000001444
ENSMUSG00000001023	ENSMUST00000107329	ENSMUSP00000102952	ENSRNOG00000011748	ENSRNOT00000015712	ENSRNOP00000015712
ENSMUSG00000032262	ENSMUST00000034796	ENSMUSP00000034796	ENSRNOG00000009773	ENSRNOT00000012999	ENSRNOP00000012999
ENSMUSG00000028684	ENSMUST00000030446	ENSMUSP00000030446	ENSRNOG00000018211	ENSRNOT00000024719	ENSRNOP00000024719
ENSMUSG00000036223	ENSMUST00000040188	ENSMUSP00000049156	ENSRNOG00000015275	ENSRNOT00000020637	ENSRNOP00000020637
ENSMUSG00000005672	ENSMUST00000144270	ENSMUSP00000116465	ENSRNOG00000002227	ENSRNOT00000003050	ENSRNOP00000003050
ENSMUSG00000029389	ENSMUST00000071057	ENSMUSP00000070279	ENSRNOG00000001043	ENSRNOT00000001387	ENSRNOP00000001387
ENSMUSG00000031791	ENSMUST00000034244	ENSMUSP00000034244	ENSRNOG00000011912	ENSRNOT00000064060	ENSRNOP00000059284
ENSMUSG00000021175	ENSMUST00000021592	ENSMUSP00000021592	ENSRNOG00000005410	ENSRNOT00000064868	ENSRNOP00000061054
ENSMUSG00000039384	ENSMUST00000048655	ENSMUSP00000045838	ENSRNOG00000004003	ENSRNOT00000005400	ENSRNOP00000005400
ENSMUSG00000025745	ENSMUST00000156859	ENSMUSP00000120976	ENSRNOG00000024629	ENSRNOT00000038649	ENSRNOP00000038073
ENSMUSG00000001025	ENSMUST00000200289	ENSMUSP00000143720	ENSRNOG00000011647	ENSRNOT00000015612	ENSRNOP00000015612
ENSMUSG00000018340	ENSMUST00000108883	ENSMUSP00000104511	ENSRNOG00000010668	ENSRNOT00000014464	ENSRNOP00000014464
ENSMUSG00000058756	ENSMUST00000064187	ENSMUSP00000068281	ENSRNOG00000009066	ENSRNOT00000012340	ENSRNOP00000012340
ENSMUSG00000026339	ENSMUST00000036025	ENSMUSP00000043442	ENSRNOG00000002514	ENSRNOT00000003435	ENSRNOP00000003435
ENSMUSG00000020781	ENSMUST00000021134	ENSMUSP00000021134	ENSRNOG00000004598	ENSRNOT00000006327	ENSRNOP00000006327
ENSMUSG00000029094	ENSMUST00000064571	ENSMUSP00000067779	ENSRNOG00000060665	ENSRNOT00000090597	ENSRNOP00000069497
ENSMUSG00000041733	ENSMUST00000040421	ENSMUSP00000048001	ENSRNOG00000001171	ENSRNOT00000001546	ENSRNOP00000001547
ENSMUSG00000062591	ENSMUST00000071135	ENSMUSP00000071135	ENSRNOG00000047505	ENSRNOT00000075767	ENSRNOP00000065633
ENSMUSG00000024180	ENSMUST00000025010	ENSMUSP00000025010	ENSRNOG00000020374	ENSRNOT00000027609	ENSRNOP00000027609
ENSMUSG00000021504	ENSMUST00000064701	ENSMUSP00000068532	ENSRNOG00000021886	ENSRNOT00000083492	ENSRNOP00000072981
ENSMUSG00000035681	ENSMUST00000219301	ENSMUSP00000151579	ENSRNOG00000004077	ENSRNOT00000005773	ENSRNOP00000005773
ENSMUSG00000000182	ENSMUST00000000186	ENSMUSP00000000186	ENSRNOG00000052205	ENSRNOT00000078299	ENSRNOP00000075536
ENSMUSG00000030278	ENSMUST00000113089	ENSMUSP00000108712	ENSRNOG00000009153	ENSRNOT00000091965	ENSRNOP00000073293
ENSMUSG00000024082	ENSMUST00000024887	ENSMUSP00000024887	ENSRNOG00000005279	ENSRNOT00000007000	ENSRNOP00000007000
ENSMUSG00000056515	ENSMUST00000070673	ENSMUSP00000068195	ENSRNOG00000042189	ENSRNOT00000067974	ENSRNOP00000063486
ENSMUSG00000044576	ENSMUST00000058045	ENSMUSP00000054208	ENSRNOG00000048004	ENSRNOT00000074348	ENSRNOP00000066748
ENSMUSG00000042677	ENSMUST00000036188	ENSMUSP00000037172	ENSRNOG00000009131	ENSRNOT00000012314	ENSRNOP00000012314
ENSMUSG00000020889	ENSMUST00000064941	ENSMUSP00000069505	ENSRNOG00000009329	ENSRNOT00000012537	ENSRNOP00000012537
ENSMUSG00000040505	ENSMUST00000066175	ENSMUSP00000069495	ENSRNOG00000005250	ENSRNOT00000007174	ENSRNOP00000007174
ENSMUSG00000026727	ENSMUST00000028059	ENSMUSP00000028059	ENSRNOG00000017595	ENSRNOT00000057827	ENSRNOP00000054637
ENSMUSG00000022529	ENSMUST00000023176	ENSMUSP00000023176	ENSRNOG00000007678	ENSRNOT00000010442	ENSRNOP00000010442
ENSMUSG00000030603	ENSMUST00000032824	ENSMUSP00000032824	ENSRNOG00000018994	ENSRNOT00000025819	ENSRNOP00000025819
ENSMUSG00000027360	ENSMUST00000028838	ENSMUSP00000028838	ENSRNOG00000010262	ENSRNOT00000041569	ENSRNOP00000041885
ENSMUSG00000001985	ENSMUST00000030676	ENSMUSP00000030676	ENSRNOG00000008992	ENSRNOT00000045513	ENSRNOP00000048216
ENSMUSG00000033726	ENSMUST00000045942	ENSMUSP00000046026	ENSRNOG00000015493	ENSRNOT00000020786	ENSRNOP00000020786
ENSMUSG00000022546	ENSMUST00000229679	ENSMUSP00000155553	ENSRNOG00000033915	ENSRNOT00000050556	ENSRNOP00000044411
ENSMUSG00000050645	ENSMUST00000053180	ENSMUSP00000059585	ENSRNOG00000036897	ENSRNOT00000055408	ENSRNOP00000052276
ENSMUSG00000044052	ENSMUST00000062759	ENSMUSP00000062588	ENSRNOG00000020275	ENSRNOT00000027458	ENSRNOP00000027458
ENSMUSG00000027628	ENSMUST00000109570	ENSMUSP00000105198	ENSRNOG00000020086	ENSRNOT00000027369	ENSRNOP00000027369
ENSMUSG00000050627	ENSMUST00000146623	ENSMUSP00000117509	ENSRNOG00000026455	ENSRNOT00000033976	ENSRNOP00000036106
ENSMUSG00000017167	ENSMUST00000103109	ENSMUSP00000099398	ENSRNOG00000020277	ENSRNOT00000027505	ENSRNOP00000027505
ENSMUSG00000036095	ENSMUST00000220990	ENSMUSP00000152378	ENSRNOG00000030771	ENSRNOT00000063874	ENSRNOP00000058842
ENSMUSG00000026532	ENSMUST00000027817	ENSMUSP00000027817	ENSRNOG00000003537	ENSRNOT00000066509	ENSRNOP00000061853
ENSMUSG00000021911	ENSMUST00000022470	ENSMUSP00000022470	ENSRNOG00000019978	ENSRNOT00000027071	ENSRNOP00000027071
ENSMUSG00000024254	ENSMUST00000045714	ENSMUSP00000035246	ENSRNOG00000005420	ENSRNOT00000061871	ENSRNOP00000058587
ENSMUSG00000051159	ENSMUST00000050551	ENSMUSP00000051789	ENSRNOG00000003189	ENSRNOT00000004263	ENSRNOP00000004263
ENSMUSG00000027661	ENSMUST00000029196	ENSMUSP00000029196	ENSRNOG00000025384	ENSRNOT00000030203	ENSRNOP00000037391
ENSMUSG00000061126	ENSMUST00000003413	ENSMUSP00000003413	ENSRNOG00000029478	ENSRNOT00000007548	ENSRNOP00000007548
ENSMUSG00000001783	ENSMUST00000001834	ENSMUSP00000001834	ENSRNOG00000004813	ENSRNOT00000006570	ENSRNOP00000006570
ENSMUSG00000035172	ENSMUST00000129895	ENSMUSP00000137841	ENSRNOG00000020238	ENSRNOT00000027452	ENSRNOP00000027452
ENSMUSG00000024446	ENSMUST00000077535	ENSMUSP00000076739	ENSRNOG00000000786	ENSRNOT00000001024	ENSRNOP00000001024
ENSMUSG00000040490	ENSMUST00000046254	ENSMUSP00000047573	ENSRNOG00000011803	ENSRNOT00000015705	ENSRNOP00000015705
ENSMUSG00000022881	ENSMUST00000023598	ENSMUSP00000023598	ENSRNOG00000001816	ENSRNOT00000002487	ENSRNOP00000002487
ENSMUSG00000042211	ENSMUST00000048688	ENSMUSP00000047541	ENSRNOG00000019063	ENSRNOT00000025790	ENSRNOP00000025791
ENSMUSG00000091243	ENSMUST00000168064	ENSMUSP00000131500	ENSRNOG00000028774	ENSRNOT00000042316	ENSRNOP00000051348
ENSMUSG00000017897	ENSMUST00000063433	ENSMUSP00000066244	ENSRNOG00000019203	ENSRNOT00000030119	ENSRNOP00000030502
ENSMUSG00000023018	ENSMUST00000023759	ENSMUSP00000023759	ENSRNOG00000061572	ENSRNOT00000081195	ENSRNOP00000075525
ENSMUSG00000029217	ENSMUST00000071944	ENSMUSP00000071836	ENSRNOG00000002278	ENSRNOT00000088441	ENSRNOP00000075313
ENSMUSG00000000184	ENSMUST00000000188	ENSMUSP00000000188	ENSRNOG00000057710	ENSRNOT00000086440	ENSRNOP00000073319
ENSMUSG00000113949	ENSMUST00000220669	ENSMUSP00000152449	ENSRNOG00000018271	ENSRNOT00000024980	ENSRNOP00000024980
ENSMUSG00000018199	ENSMUST00000159879	ENSMUSP00000125623	ENSRNOG00000003434	ENSRNOT00000004701	ENSRNOP00000004701
ENSMUSG00000049517	ENSMUST00000051955	ENSMUSP00000054490	ENSRNOG00000016580	ENSRNOT00000022348	ENSRNOP00000022348
ENSMUSG00000028378	ENSMUST00000030069	ENSMUSP00000030069	ENSRNOG00000015072	ENSRNOT00000020335	ENSRNOP00000020335
ENSMUSG00000032599	ENSMUST00000085018	ENSMUSP00000082091	ENSRNOG00000020361	ENSRNOT00000027584	ENSRNOP00000027584
ENSMUSG00000024560	ENSMUST00000025444	ENSMUSP00000025444	ENSRNOG00000014614	ENSRNOT00000020472	ENSRNOP00000020472
ENSMUSG00000029557	ENSMUST00000031536	ENSMUSP00000031536	ENSRNOG00000043267	ENSRNOT00000042366	ENSRNOP00000050915
ENSMUSG00000041670	ENSMUST00000097811	ENSMUSP00000095420	ENSRNOG00000011000	ENSRNOT00000091865	ENSRNOP00000068599
ENSMUSG00000067567	ENSMUST00000087916	ENSMUSP00000085226	ENSRNOG00000003122	ENSRNOT00000004224	ENSRNOP00000004224
ENSMUSG00000032217	ENSMUST00000215848	ENSMUSP00000149445	ENSRNOG00000060750	ENSRNOT00000084313	ENSRNOP00000069810
ENSMUSG00000036639	ENSMUST00000050205	ENSMUSP00000059983	ENSRNOG00000001260	ENSRNOT00000001700	ENSRNOP00000001700
ENSMUSG00000036768	ENSMUST00000040717	ENSMUSP00000035490	ENSRNOG00000060356	ENSRNOT00000089278	ENSRNOP00000071501
ENSMUSG00000032046	ENSMUST00000056149	ENSMUSP00000053558	ENSRNOG00000036934	ENSRNOT00000010641	ENSRNOP00000010640
ENSMUSG00000040521	ENSMUST00000040560	ENSMUSP00000042134	ENSRNOG00000048843	ENSRNOT00000071543	ENSRNOP00000064332
ENSMUSG00000001707	ENSMUST00000001757	ENSMUSP00000001757	ENSRNOG00000016390	ENSRNOT00000022065	ENSRNOP00000022065
ENSMUSG00000043872	ENSMUST00000106102	ENSMUSP00000101708	ENSRNOG00000013855	ENSRNOT00000064015	ENSRNOP00000062035
ENSMUSG00000046731	ENSMUST00000050555	ENSMUSP00000059107	ENSRNOG00000015669	ENSRNOT00000020970	ENSRNOP00000020970
ENSMUSG00000044863	ENSMUST00000058086	ENSMUSP00000059665	ENSRNOG00000007558	ENSRNOT00000009930	ENSRNOP00000009930
ENSMUSG00000020859	ENSMUST00000041956	ENSMUSP00000042271	ENSRNOG00000002749	ENSRNOT00000085681	ENSRNOP00000073784
ENSMUSG00000037007	ENSMUST00000049393	ENSMUSP00000041796	ENSRNOG00000001341	ENSRNOT00000001815	ENSRNOP00000001815
ENSMUSG00000074678	ENSMUST00000099203	ENSMUSP00000096809	ENSRNOG00000036895	ENSRNOT00000055406	ENSRNOP00000052274
ENSMUSG00000017781	ENSMUST00000143219	ENSMUSP00000115723	ENSRNOG00000003846	ENSRNOT00000005368	ENSRNOP00000005368
ENSMUSG00000038754	ENSMUST00000237098	ENSMUSP00000157465	ENSRNOG00000019124	ENSRNOT00000025938	ENSRNOP00000025938
ENSMUSG00000025432	ENSMUST00000026500	ENSMUSP00000026500	ENSRNOG00000050419	ENSRNOT00000073237	ENSRNOP00000067218
ENSMUSG00000025383	ENSMUST00000026449	ENSMUSP00000026449	ENSRNOG00000003254	ENSRNOT00000004363	ENSRNOP00000004363
ENSMUSG00000020694	ENSMUST00000106939	ENSMUSP00000102552	ENSRNOG00000006285	ENSRNOT00000066484	ENSRNOP00000062555
ENSMUSG00000025229	ENSMUST00000026259	ENSMUSP00000026259	ENSRNOG00000019194	ENSRNOT00000026013	ENSRNOP00000026013
ENSMUSG00000039585	ENSMUST00000136740	ENSMUSP00000122852	ENSRNOG00000011619	ENSRNOT00000015963	ENSRNOP00000015963
ENSMUSG00000000359	ENSMUST00000000369	ENSMUSP00000000369	ENSRNOG00000007567	ENSRNOT00000010149	ENSRNOP00000010149
ENSMUSG00000028820	ENSMUST00000030623	ENSMUSP00000030623	ENSRNOG00000058461	ENSRNOT00000084202	ENSRNOP00000074636
ENSMUSG00000041377	ENSMUST00000112711	ENSMUSP00000108331	ENSRNOG00000010282	ENSRNOT00000013721	ENSRNOP00000013721
ENSMUSG00000039377	ENSMUST00000048572	ENSMUSP00000040505	ENSRNOG00000002309	ENSRNOT00000003155	ENSRNOP00000003155
ENSMUSG00000050808	ENSMUST00000090332	ENSMUSP00000087805	ENSRNOG00000004703	ENSRNOT00000079600	ENSRNOP00000070909
ENSMUSG00000032477	ENSMUST00000094324	ENSMUSP00000091882	ENSRNOG00000020737	ENSRNOT00000028141	ENSRNOP00000028141
ENSMUSG00000052713	ENSMUST00000064763	ENSMUSP00000068192	ENSRNOG00000023197	ENSRNOT00000033254	ENSRNOP00000034061
ENSMUSG00000033981	ENSMUST00000192463	ENSMUSP00000141447	ENSRNOG00000054204	ENSRNOT00000077941	ENSRNOP00000069094
ENSMUSG00000005824	ENSMUST00000005976	ENSMUSP00000005976	ENSRNOG00000047730	ENSRNOT00000074247	ENSRNOP00000067356
ENSMUSG00000034111	ENSMUST00000037418	ENSMUSP00000043742	ENSRNOG00000045857	ENSRNOT00000074707	ENSRNOP00000066645
ENSMUSG00000028859	ENSMUST00000106162	ENSMUSP00000101768	ENSRNOG00000008759	ENSRNOT00000011694	ENSRNOP00000011694
ENSMUSG00000071072	ENSMUST00000052798	ENSMUSP00000050292	ENSRNOG00000002642	ENSRNOT00000003787	ENSRNOP00000003787
ENSMUSG00000020782	ENSMUST00000103032	ENSMUSP00000099321	ENSRNOG00000004834	ENSRNOT00000080714	ENSRNOP00000068912
ENSMUSG00000033720	ENSMUST00000045846	ENSMUSP00000041872	ENSRNOG00000037871	ENSRNOT00000057537	ENSRNOP00000054347
ENSMUSG00000027230	ENSMUST00000028663	ENSMUSP00000028663	ENSRNOG00000005413	ENSRNOT00000007771	ENSRNOP00000007771
ENSMUSG00000074968	ENSMUST00000099623	ENSMUSP00000097219	ENSRNOG00000004731	ENSRNOT00000006349	ENSRNOP00000006349
ENSMUSG00000017146	ENSMUST00000017290	ENSMUSP00000017290	ENSRNOG00000020701	ENSRNOT00000083111	ENSRNOP00000072366
ENSMUSG00000021619	ENSMUST00000022119	ENSMUSP00000022119	ENSRNOG00000016342	ENSRNOT00000021941	ENSRNOP00000021942
ENSMUSG00000015478	ENSMUST00000015622	ENSMUSP00000015622	ENSRNOG00000000438	ENSRNOT00000000501	ENSRNOP00000000501
ENSMUSG00000016024	ENSMUST00000016168	ENSMUSP00000016168	ENSRNOG00000014532	ENSRNOT00000019787	ENSRNOP00000019787
ENSMUSG00000047797	ENSMUST00000119080	ENSMUSP00000113904	ENSRNOG00000003746	ENSRNOT00000076816	ENSRNOP00000068248
ENSMUSG00000038305	ENSMUST00000170139	ENSMUSP00000127598	ENSRNOG00000016012	ENSRNOT00000081497	ENSRNOP00000069610
ENSMUSG00000042305	ENSMUST00000049470	ENSMUSP00000046786	ENSRNOG00000003594	ENSRNOT00000078990	ENSRNOP00000068555
ENSMUSG00000027163	ENSMUST00000028584	ENSMUSP00000028584	ENSRNOG00000004755	ENSRNOT00000006628	ENSRNOP00000006628
ENSMUSG00000050002	ENSMUST00000225236	ENSMUSP00000152973	ENSRNOG00000019519	ENSRNOT00000026407	ENSRNOP00000026407
ENSMUSG00000055357	ENSMUST00000068874	ENSMUSP00000069798	ENSRNOG00000003688	ENSRNOT00000004893	ENSRNOP00000004893
ENSMUSG00000033902	ENSMUST00000229024	ENSMUSP00000155163	ENSRNOG00000007018	ENSRNOT00000009430	ENSRNOP00000009430
ENSMUSG00000030630	ENSMUST00000032865	ENSMUSP00000032865	ENSRNOG00000013223	ENSRNOT00000068167	ENSRNOP00000061132
ENSMUSG00000029096	ENSMUST00000087629	ENSMUSP00000084910	ENSRNOG00000008182	ENSRNOT00000010852	ENSRNOP00000010852
ENSMUSG00000035299	ENSMUST00000112104	ENSMUSP00000107732	ENSRNOG00000003613	ENSRNOT00000086414	ENSRNOP00000072598
ENSMUSG00000037664	ENSMUST00000207910	ENSMUSP00000147142	ENSRNOG00000059500	ENSRNOT00000078944	ENSRNOP00000073616
ENSMUSG00000043029	ENSMUST00000049676	ENSMUSP00000053755	ENSRNOG00000019606	ENSRNOT00000026596	ENSRNOP00000026596
ENSMUSG00000055204	ENSMUST00000014421	ENSMUSP00000014421	ENSRNOG00000002940	ENSRNOT00000086542	ENSRNOP00000069642
ENSMUSG00000015127	ENSMUST00000039734	ENSMUSP00000039670	ENSRNOG00000054605	ENSRNOT00000092043	ENSRNOP00000068992
ENSMUSG00000026020	ENSMUST00000191142	ENSMUSP00000140250	ENSRNOG00000016486	ENSRNOT00000022676	ENSRNOP00000022676
ENSMUSG00000050534	ENSMUST00000055884	ENSMUSP00000057212	ENSRNOG00000002549	ENSRNOT00000003441	ENSRNOP00000003441
ENSMUSG00000022641	ENSMUST00000138166	ENSMUSP00000119238	ENSRNOG00000001971	ENSRNOT00000083438	ENSRNOP00000070428
ENSMUSG00000061981	ENSMUST00000148162	ENSMUSP00000133147	ENSRNOG00000009681	ENSRNOT00000014104	ENSRNOP00000014104
ENSMUSG00000026621	ENSMUST00000110992	ENSMUSP00000106620	ENSRNOG00000004101	ENSRNOT00000005459	ENSRNOP00000005459
ENSMUSG00000035297	ENSMUST00000045993	ENSMUSP00000048416	ENSRNOG00000023650	ENSRNOT00000003046	ENSRNOP00000003046
ENSMUSG00000043456	ENSMUST00000206763	ENSMUSP00000159087	ENSRNOG00000014163	ENSRNOT00000018956	ENSRNOP00000018956
ENSMUSG00000024181	ENSMUST00000025014	ENSMUSP00000025014	ENSRNOG00000042720	ENSRNOT00000027662	ENSRNOP00000027662
ENSMUSG00000022708	ENSMUST00000114694	ENSMUSP00000110342	ENSRNOG00000056716	ENSRNOT00000093596	ENSRNOP00000076312
ENSMUSG00000019975	ENSMUST00000020150	ENSMUSP00000020150	ENSRNOG00000008247	ENSRNOT00000010914	ENSRNOP00000010913
ENSMUSG00000034243	ENSMUST00000114812	ENSMUSP00000110460	ENSRNOG00000030314	ENSRNOT00000083152	ENSRNOP00000069873
ENSMUSG00000001588	ENSMUST00000001631	ENSMUSP00000001631	ENSRNOG00000015674	ENSRNOT00000021357	ENSRNOP00000021357
ENSMUSG00000027962	ENSMUST00000029574	ENSMUSP00000029574	ENSRNOG00000014333	ENSRNOT00000078806	ENSRNOP00000071423
ENSMUSG00000027454	ENSMUST00000028948	ENSMUSP00000028948	ENSRNOG00000008091	ENSRNOT00000010955	ENSRNOP00000010955
ENSMUSG00000078676	ENSMUST00000017384	ENSMUSP00000017384	ENSRNOG00000009716	ENSRNOT00000013204	ENSRNOP00000013204
ENSMUSG00000035863	ENSMUST00000046945	ENSMUSP00000040596	ENSRNOG00000009760	ENSRNOT00000013762	ENSRNOP00000013762
ENSMUSG00000039671	ENSMUST00000109269	ENSMUSP00000104892	ENSRNOG00000019154	ENSRNOT00000068328	ENSRNOP00000061219
ENSMUSG00000063808	ENSMUST00000131213	ENSMUSP00000117475	ENSRNOG00000011584	ENSRNOT00000015791	ENSRNOP00000015791
ENSMUSG00000030612	ENSMUST00000032841	ENSMUSP00000032841	ENSRNOG00000018547	ENSRNOT00000067172	ENSRNOP00000061438
ENSMUSG00000025393	ENSMUST00000026459	ENSMUSP00000026459	ENSRNOG00000002840	ENSRNOT00000003965	ENSRNOP00000003965
ENSMUSG00000051343	ENSMUST00000204087	ENSMUSP00000145402	ENSRNOG00000056009	ENSRNOT00000086720	ENSRNOP00000072006
ENSMUSG00000026220	ENSMUST00000027422	ENSMUSP00000027422	ENSRNOG00000017072	ENSRNOT00000089889	ENSRNOP00000071313
ENSMUSG00000052915	ENSMUST00000037915	ENSMUSP00000042792	ENSRNOG00000009643	ENSRNOT00000012812	ENSRNOP00000012812
ENSMUSG00000024163	ENSMUST00000146923	ENSMUSP00000114802	ENSRNOG00000033568	ENSRNOT00000042066	ENSRNOP00000039682
ENSMUSG00000040472	ENSMUST00000227061	ENSMUSP00000154725	ENSRNOG00000030483	ENSRNOT00000048455	ENSRNOP00000049261
ENSMUSG00000068302	ENSMUST00000089578	ENSMUSP00000087006	ENSRNOG00000037863	ENSRNOT00000057516	ENSRNOP00000054325
ENSMUSG00000032598	ENSMUST00000035218	ENSMUSP00000035218	ENSRNOG00000031816	ENSRNOT00000047482	ENSRNOP00000049566
ENSMUSG00000019823	ENSMUST00000119962	ENSMUSP00000113783	ENSRNOG00000000307	ENSRNOT00000000337	ENSRNOP00000000337
ENSMUSG00000041696	ENSMUST00000217172	ENSMUSP00000150153	ENSRNOG00000032339	ENSRNOT00000046914	ENSRNOP00000041205
ENSMUSG00000061950	ENSMUST00000073104	ENSMUSP00000072848	ENSRNOG00000013733	ENSRNOT00000066793	ENSRNOP00000061977
ENSMUSG00000020718	ENSMUST00000021060	ENSMUSP00000021060	ENSRNOG00000013728	ENSRNOT00000018394	ENSRNOP00000018394
ENSMUSG00000024164	ENSMUST00000024988	ENSMUSP00000024988	ENSRNOG00000046834	ENSRNOT00000073042	ENSRNOP00000066885
ENSMUSG00000016758	ENSMUST00000229165	ENSMUSP00000155439	ENSRNOG00000010359	ENSRNOT00000013977	ENSRNOP00000013977
ENSMUSG00000019232	ENSMUST00000163620	ENSMUSP00000129120	ENSRNOG00000045743	ENSRNOT00000074209	ENSRNOP00000065383
ENSMUSG00000058318	ENSMUST00000111293	ENSMUSP00000106924	ENSRNOG00000006063	ENSRNOT00000067664	ENSRNOP00000061099
ENSMUSG00000021936	ENSMUST00000111945	ENSMUSP00000107576	ENSRNOG00000020155	ENSRNOT00000065216	ENSRNOP00000062048
ENSMUSG00000015474	ENSMUST00000171121	ENSMUSP00000127745	ENSRNOG00000000435	ENSRNOT00000000497	ENSRNOP00000000497
ENSMUSG00000021501	ENSMUST00000021963	ENSMUSP00000021963	ENSRNOG00000021911	ENSRNOT00000037088	ENSRNOP00000033945
ENSMUSG00000024070	ENSMUST00000119284	ENSMUSP00000113395	ENSRNOG00000005289	ENSRNOT00000007492	ENSRNOP00000007491
ENSMUSG00000039943	ENSMUST00000184371	ENSMUSP00000139274	ENSRNOG00000033119	ENSRNOT00000045393	ENSRNOP00000045972
ENSMUSG00000057182	ENSMUST00000100069	ENSMUSP00000097647	ENSRNOG00000005007	ENSRNOT00000006646	ENSRNOP00000006646
ENSMUSG00000022357	ENSMUST00000022985	ENSMUSP00000022985	ENSRNOG00000007896	ENSRNOT00000079961	ENSRNOP00000074080
ENSMUSG00000022358	ENSMUST00000022986	ENSMUSP00000022986	ENSRNOG00000006738	ENSRNOT00000010361	ENSRNOP00000010361
ENSMUSG00000042250	ENSMUST00000047745	ENSMUSP00000040755	ENSRNOG00000021798	ENSRNOT00000029771	ENSRNOP00000029961
ENSMUSG00000019518	ENSMUST00000019662	ENSMUSP00000019662	ENSRNOG00000001353	ENSRNOT00000001827	ENSRNOP00000001827
ENSMUSG00000041372	ENSMUST00000057283	ENSMUSP00000058253	ENSRNOG00000010344	ENSRNOT00000036721	ENSRNOP00000035906
ENSMUSG00000026514	ENSMUST00000209607	ENSMUSP00000148015	ENSRNOG00000022724	ENSRNOT00000036705	ENSRNOP00000035332
ENSMUSG00000055835	ENSMUST00000212206	ENSMUSP00000148472	ENSRNOG00000019059	ENSRNOT00000025761	ENSRNOP00000025761
ENSMUSG00000041096	ENSMUST00000044509	ENSMUSP00000046782	ENSRNOG00000061782	ENSRNOT00000085905	ENSRNOP00000075439
ENSMUSG00000019494	ENSMUST00000019638	ENSMUSP00000019638	ENSRNOG00000001346	ENSRNOT00000001820	ENSRNOP00000001820
ENSMUSG00000028861	ENSMUST00000030675	ENSMUSP00000030675	ENSRNOG00000008279	ENSRNOT00000011565	ENSRNOP00000011565
ENSMUSG00000020755	ENSMUST00000140991	ENSMUSP00000114844	ENSRNOG00000005482	ENSRNOT00000007362	ENSRNOP00000007362
ENSMUSG00000031957	ENSMUST00000034435	ENSMUSP00000034435	ENSRNOG00000019068	ENSRNOT00000026017	ENSRNOP00000026017
ENSMUSG00000060201	ENSMUST00000235321		ENSRNOG00000032873	ENSRNOT00000040936	ENSRNOP00000044400
ENSMUSG00000073551	ENSMUST00000235190	ENSMUSP00000157623	ENSRNOG00000038793	ENSRNOT00000059276	ENSRNOP00000056043
ENSMUSG00000041084	ENSMUST00000043937	ENSMUSP00000046480	ENSRNOG00000023322	ENSRNOT00000037393	ENSRNOP00000037521
ENSMUSG00000033191	ENSMUST00000047421	ENSMUSP00000037129	ENSRNOG00000020173	ENSRNOT00000027414	ENSRNOP00000027414
ENSMUSG00000048148	ENSMUST00000161557	ENSMUSP00000125470	ENSRNOG00000052129	ENSRNOT00000080387	ENSRNOP00000069961
ENSMUSG00000071533	ENSMUST00000119981	ENSMUSP00000112565	ENSRNOG00000028411	ENSRNOT00000039997	ENSRNOP00000039022
ENSMUSG00000048058	ENSMUST00000058790	ENSMUSP00000054134	ENSRNOG00000058157	ENSRNOT00000083703	ENSRNOP00000069591
ENSMUSG00000036980	ENSMUST00000048698	ENSMUSP00000048016	ENSRNOG00000001355	ENSRNOT00000001829	ENSRNOP00000001829
ENSMUSG00000059183	ENSMUST00000074792	ENSMUSP00000074347	ENSRNOG00000014602	ENSRNOT00000019671	ENSRNOP00000019671
ENSMUSG00000020752	ENSMUST00000021097	ENSMUSP00000021097	ENSRNOG00000005107	ENSRNOT00000007246	ENSRNOP00000007246
ENSMUSG00000050069	ENSMUST00000055294	ENSMUSP00000049640	ENSRNOG00000003616	ENSRNOT00000004803	ENSRNOP00000004803
ENSMUSG00000034121	ENSMUST00000038196	ENSMUSP00000043790	ENSRNOG00000008635	ENSRNOT00000011500	ENSRNOP00000011500
ENSMUSG00000024294	ENSMUST00000165555	ENSMUSP00000131712	ENSRNOG00000013281	ENSRNOT00000018025	ENSRNOP00000018025
ENSMUSG00000031955	ENSMUST00000166232	ENSMUSP00000129584	ENSRNOG00000019253	ENSRNOT00000041815	ENSRNOP00000039940
ENSMUSG00000022601	ENSMUST00000050248	ENSMUSP00000056923	ENSRNOG00000001613	ENSRNOT00000034940	ENSRNOP00000031654
ENSMUSG00000061393	ENSMUST00000215746	ENSMUSP00000150566	ENSRNOG00000014477	ENSRNOT00000019777	ENSRNOP00000019777
ENSMUSG00000053916	ENSMUST00000066640	ENSMUSP00000063895	ENSRNOG00000008307	ENSRNOT00000011315	ENSRNOP00000011315
ENSMUSG00000050108	ENSMUST00000061699	ENSMUSP00000063107	ENSRNOG00000022937	ENSRNOT00000037290	ENSRNOP00000038379
ENSMUSG00000068115	ENSMUST00000109896	ENSMUSP00000105522	ENSRNOG00000027747	ENSRNOT00000068689	ENSRNOP00000061689
ENSMUSG00000006732	ENSMUST00000006915	ENSMUSP00000006915	ENSRNOG00000047895	ENSRNOT00000075544	ENSRNOP00000064874
ENSMUSG00000000154	ENSMUST00000052348	ENSMUSP00000056082	ENSRNOG00000020562	ENSRNOT00000027925	ENSRNOP00000027925
ENSMUSG00000042616	ENSMUST00000143712	ENSMUSP00000152196	ENSRNOG00000026978	ENSRNOT00000037246	ENSRNOP00000034112
