Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	Transcript count	Rat gene stable ID	Rat protein or transcript stable ID	Rat homology type	%id. target Rat gene identical to query gene	%id. query gene identical to target Rat gene	Rat Gene-order conservation score	Rat Whole-genome alignment coverage	dN with Rat	dS with Rat	Rat orthology confidence [0 low, 1 high]	Mouse chrome	Mouse start	Mouse end	Mouse length	Rat chrome	Rat start	Rat end	Rat length
ENSMUSG00000050921	ENSMUST00000150494	ENSMUSP00000115201	P2ry10	3	ENSRNOG00000037839	ENSRNOP00000046594	ortholog_one2one	92.6829	92.6829	100	100.00	0.0368	0.1521	1	X	107088492	107104970	16478	X	78196300	78210403	14103
ENSMUSG00000068566	ENSMUST00000203566	ENSMUSP00000145120	Myadm	5	ENSRNOG00000053450	ENSRNOP00000074552	ortholog_one2one	93.125	93.7107	100	100.00	0.0408	0.1921	1	7	3290575	3300442	9867	1	64438472	64446818	8346
ENSMUSG00000037960	ENSMUST00000048946	ENSMUSP00000047569	Card19	5	ENSRNOG00000016560	ENSRNOP00000022203	ortholog_one2one	95.082	85.7143	100	100.00	0.0261	0.1567	1	13	49202951	49216026	13075	17	15852548	15858750	6202
ENSMUSG00000090919	ENSMUST00000192793	ENSMUSP00000141300	Pabpc4l	4	ENSRNOG00000029749	ENSRNOP00000017012	ortholog_one2one	93.5135	93.5135	50	100.00	0.0328	0.2396	1	3	46442197	46448219	6022	2	130656212	130658202	1990
ENSMUSG00000049739	ENSMUST00000050383	ENSMUSP00000052641	Zfp646	4	ENSRNOG00000026115	ENSRNOP00000075282	ortholog_one2one	87.1924	87.29	100	100.00	0.0667	0.161	1	7	127877701	127885996	8295	1	199323628	199330997	7369
ENSMUSG00000029236	ENSMUST00000031146	ENSMUSP00000031146	Nmu	1	ENSRNOG00000002164	ENSRNOP00000002941	ortholog_one2one	86.7816	86.7816	100	100.00	0.0731	0.1458	1	5	76333495	76363788	30293	14	34354503	34381828	27325
ENSMUSG00000046093	ENSMUST00000059667	ENSMUSP00000051487	Hpcal4	5	ENSRNOG00000050983	ENSRNOP00000066655	ortholog_one2one	99.4764	99.4764	100	100.00	0.0021	0.2658	1	4	123183227	123194701	11474	5	140870140	140882244	12104
ENSMUSG00000046916	ENSMUST00000051809	ENSMUSP00000050430	Myct1	1	ENSRNOG00000018858	ENSRNOP00000025616	ortholog_one2one	96.2766	96.2766	100	100.00	0.0176	0.1927	1	10	5593775	5606904	13129	1	42121636	42131547	9911
ENSMUSG00000081534	ENSMUST00000230531		Slc48a1	4	ENSRNOG00000053196	ENSRNOP00000071123	ortholog_one2one	95.8904	95.8904	100	100.00	0.017	0.232	1	15	97778520	97791059	12539	7	139271698	139279499	7801
ENSMUSG00000049728	ENSMUST00000054415	ENSMUSP00000056105	Zfp668	6	ENSRNOG00000016683	ENSRNOP00000022452	ortholog_one2one	98.3845	98.3845	100	100.00	0.0084	0.1729	1	7	127863047	127876828	13781	1	199310935	199320727	9792
ENSMUSG00000078816	ENSMUST00000100301	ENSMUSP00000097874	Prkcg	5	ENSRNOG00000054371	ENSRNOP00000071203	ortholog_one2one	100	100	100	100.00	0	0	1	7	3303522	3331099	27577	1	64407114	64433636	26522
ENSMUSG00000024266	ENSMUST00000098361	ENSMUSP00000095964	Adad2	1	ENSRNOG00000015690	ENSRNOP00000021072	ortholog_one2one	91.6221	91.9499	100	100.00	0.0469	0.2373	1	8	119612747	119616924	4177	19	52258947	52262959	4012
ENSMUSG00000048332	ENSMUST00000059562	ENSMUSP00000056364	Lhfp	4	ENSRNOG00000014153	ENSRNOP00000019057	ortholog_one2one	99	99	100	100.00	0.0045	0.2158	1	3	53041528	53261679	220151	2	142262236	142461980	199744
ENSMUSG00000059741	ENSMUST00000200011	ENSMUSP00000142530	Myl3	5	ENSRNOG00000020955	ENSRNOP00000028458	ortholog_one2one	97.0588	99	100	100.00	0.0045	0.3575	1	9	110741861	110769147	27286	8	119030875	119036996	6121
ENSMUSG00000028664	ENSMUST00000105845	ENSMUSP00000101471	Ephb2	6	ENSRNOG00000012531	ENSRNOP00000070517	ortholog_one2one	99.4934	99.5943	100	100.00	0.0017	0.2207	1	4	136647539	136835988	188449	5	155022493	155204456	181963
ENSMUSG00000027506	ENSMUST00000120143	ENSMUSP00000112830	Tpd52	11	ENSRNOG00000011441	ENSRNOP00000074488	ortholog_one2one	96.7611	96.7611	100	100.00	0.0161	0.2745	1	3	8925593	9004723	79130	2	95008311	95040514	32203
ENSMUSG00000047963	ENSMUST00000050952	ENSMUSP00000054322	Stbd1	3	ENSRNOG00000002218	ENSRNOP00000003020	ortholog_one2one	86.3905	87.6877	100	100.00	0.0725	0.1765	1	5	92603051	92606579	3528	14	16976356	16979760	3404
ENSMUSG00000038602	ENSMUST00000105473	ENSMUSP00000101113	Slc35f1	1	ENSRNOG00000000412	ENSRNOP00000000468	ortholog_one2one	85.5392	99.4302	100	96.08	0.0043	0.1642	1	10	52690533	53111622	421089	20	34258791	34420824	162033
ENSMUSG00000025588	ENSMUST00000212171	ENSMUSP00000148354	Nat1	2	ENSRNOG00000014055	ENSRNOP00000018854	ortholog_one2one	91.7241	91.7241	100	100.00	0.0481	0.1506	1	8	67480921	67492080	11159	16	23970743	23991573	20830
ENSMUSG00000015522	ENSMUST00000090804	ENSMUSP00000088313	Arnt	11	ENSRNOG00000031174	ENSRNOP00000060764	ortholog_one2one	96.0809	94.8814	100	99.99	0.0203	0.1506	1	3	95434390	95497240	62850	2	196594303	196651179	56876
ENSMUSG00000042761	ENSMUST00000113149	ENSMUSP00000108774	Mrap2	3	ENSRNOG00000010545	ENSRNOP00000014006	ortholog_one2one	95.1691	95.1691	100	100.00	0.0232	0.162	1	9	87144306	87184045	39739	8	94801336	94857443	56107
ENSMUSG00000022475	ENSMUST00000116408	ENSMUSP00000112109	Hdac7	13	ENSRNOG00000055597	ENSRNOP00000073744	ortholog_one2one	97.9014	95.6923	100	100.00	0.0107	0.1457	1	15	97792666	97844502	51836	7	139281187	139318455	37268
ENSMUSG00000011752	ENSMUST00000011896	ENSMUSP00000011896	Pgam1	3	ENSRNOG00000050585	ENSRNOP00000065690	ortholog_one2one	100	100	100	100.00	0	0	1	19	41911923	41918660	6737	1	261158261	261165808	7547
ENSMUSG00000021852	ENSMUST00000074368	ENSMUSP00000073972	Slc35f4	6	ENSRNOG00000014982	ENSRNOP00000020175	ortholog_one2one	91.3402	97.1491	100	96.81	0.0161	0.202	1	14	49298519	49525886	227367	15	26152000	26175645	23645
ENSMUSG00000042118	ENSMUST00000015941	ENSMUSP00000015941	Bhmt2	1	ENSRNOG00000040120	ENSRNOP00000058419	ortholog_one2one	93.9394	94.4598	100	100.00	0.029	0.166	1	13	93655720	93674302	18582	2	23272328	23289266	16938
ENSMUSG00000030546	ENSMUST00000205915	ENSMUSP00000146028	Plin1	7	ENSRNOG00000015086	ENSRNOP00000068793	ortholog_one2one	95.5513	95.3668	100	100.00	0.0207	0.1616	1	7	79720218	79732787	12569	1	141458181	141471010	12829
ENSMUSG00000044139	ENSMUST00000121394	ENSMUSP00000112972	Prss53	2	ENSRNOG00000026040	ENSRNOP00000033673	ortholog_one2one	82.6087	83.6697	100	100.00	0.1035	0.2564	1	7	127885841	127890970	5129	1	199331787	199336451	4664
ENSMUSG00000079516	ENSMUST00000101272	ENSMUSP00000098829	Reg3a	1	ENSRNOG00000006360	ENSRNOP00000008468	ortholog_one2one	81.7143	82.1839	100	100.00	0.0985	0.2221	1	6	78380709	78383827	3118	4	109477920	109480659	2739
ENSMUSG00000051147	ENSMUST00000093470	ENSMUSP00000091181	Nat2	2	ENSRNOG00000049498	ENSRNOP00000051430	ortholog_one2one	94.1379	94.1379	100	100.00	0.0303	0.2014	1	8	67494858	67502584	7726	16	23961067	23991570	30503
ENSMUSG00000002043	ENSMUST00000136873	ENSMUSP00000119036	Trappc6a	7	ENSRNOG00000017468	ENSRNOP00000023652	ortholog_one2one	94.9686	86.7816	100	100.00	0.0217	0.2543	1	7	19508670	19516138	7468	1	80417310	80424445	7135
ENSMUSG00000031576	ENSMUST00000098858	ENSMUSP00000096457	Kcnu1	4	ENSRNOG00000014741	ENSRNOP00000019935	ortholog_one2one	83.6753	84.2767	100	100.00	0.0912	0.2641	1	8	25849623	25937939	88316	16	70913817	70998575	84758
ENSMUSG00000038872	ENSMUST00000220518	ENSMUSP00000152353	Zfhx3	7	ENSRNOG00000014452	ENSRNOP00000019408	ortholog_one2one	97.6632	97.4799	50	100.00	0.0099	0.1916	1	8	107942644	108961630	1018986	19	42758127	42920344	162217
ENSMUSG00000043715	ENSMUST00000059880	ENSMUSP00000056853	Olfr1326-ps1	1	ENSRNOG00000058820	ENSRNOP00000069690	ortholog_one2one	95.4984	95.1923	50	100.00	0.0247	0.1761	1	X	74569153	74574888	5735	X	156210002	156210940	938
ENSMUSG00000068036	ENSMUST00000139666	ENSMUSP00000118318	Afdn	17	ENSRNOG00000023753	ENSRNOP00000029044	ortholog_one2one	90	92.3858	50	99.77	0.0494	0.2372	1	17	13760548	13906150	145602	1	53715693	53802658	86965
ENSMUSG00000000792	ENSMUST00000000809	ENSMUSP00000000809	Slc5a5	1	ENSRNOG00000018822	ENSRNOP00000025577	ortholog_one2one	95.1456	95.1456	100	100.00	0.0235	0.3044	1	8	70882889	70892757	9868	16	20297414	20307400	9986
ENSMUSG00000040632	ENSMUST00000062232	ENSMUSP00000054457	Nrl	7	ENSRNOG00000018528	ENSRNOP00000024991	ortholog_one2one	96.2025	95.7983	100	100.00	0.0199	0.3194	1	14	55518978	55524981	6003	15	34197193	34198921	1728
ENSMUSG00000054459	ENSMUST00000072299	ENSMUSP00000072145	Vsnl1	2	ENSRNOG00000005345	ENSRNOP00000007609	ortholog_one2one	100	100	100	100.00	0	0	1	12	11325242	11436613	111371	6	37001356	37122023	120667
ENSMUSG00000037151	ENSMUST00000049242	ENSMUSP00000048042	Lrrc20	1	ENSRNOG00000000560	ENSRNOP00000000676	ortholog_one2one	96.1957	96.1957	100	100.00	0.0197	0.1891	1	10	61475801	61582791	106990	20	31096214	31202499	106285
ENSMUSG00000056426	ENSMUST00000070514	ENSMUSP00000069359	Nat3	1	ENSRNOG00000029977	ENSRNOP00000048448	ortholog_one2one	87.5862	87.5862	100	100.00	0.0737	0.1811	1	8	67523854	67548627	24773	16	23903012	23903884	872
ENSMUSG00000021461	ENSMUST00000159024	ENSMUSP00000124325	Fancc	19	ENSRNOG00000016889	ENSRNOP00000022884	ortholog_one2one	86.2944	91.5619	100	100.00	0.0446	0.129	1	13	63347512	63497278	149766	17	833509	955615	122106
ENSMUSG00000026798	ENSMUST00000143616	ENSMUSP00000120160	Coq4	6	ENSRNOG00000026691	ENSRNOP00000038869	ortholog_one2one	95.1128	94.052	100	100.00	0.0295	0.2298	1	2	29787493	29797935	10442	3	8349185	8357871	8686
ENSMUSG00000008604	ENSMUST00000008748	ENSMUSP00000008748	Ubqln4	5	ENSRNOG00000019933	ENSRNOP00000026994	ortholog_one2one	97.4832	97.6471	100	100.00	0.0118	0.1681	1	3	88553758	88569725	15967	2	187915751	187931035	15284
ENSMUSG00000029513	ENSMUST00000111999	ENSMUSP00000107630	Prkab1	9	ENSRNOG00000001142	ENSRNOP00000001508	ortholog_one2one	97.7778	97.7778	100	100.00	0.0096	0.3109	1	5	116013590	116024508	10918	12	46316236	46326790	10554
ENSMUSG00000053228	ENSMUST00000108491	ENSMUSP00000104131	Ceacam3	1	ENSRNOG00000027607	ENSRNOP00000023663	ortholog_one2one	83.2861	82.9337	75	100.00	0.0933	0.2187	1	7	17150282	17164253	13971	1	79122608	79135310	12702
ENSMUSG00000032338	ENSMUST00000034889	ENSMUSP00000034889	Hcn4	1	ENSRNOG00000009450	ENSRNOP00000012644	ortholog_one2one	81.5987	99.4924	100	100.00	0.0024	0.1665	1	9	58823412	58863175	39763	8	63600663	63639654	38991
ENSMUSG00000043602	ENSMUST00000060444	ENSMUSP00000054020	Zfp3	1	ENSRNOG00000005009	ENSRNOP00000006641	ortholog_one2one	91.5493	90.4573	100	100.00	0.0434	0.2965	1	11	70764209	70772928	8719	10	57386228	57394471	8243
ENSMUSG00000026818	ENSMUST00000028161	ENSMUSP00000028161	Cel	2	ENSRNOG00000010406	ENSRNOP00000014572	ortholog_one2one	92.9883	91.0131	100	100.00	0.0345	0.2047	1	2	28555795	28563362	7567	3	7134021	7141522	7501
ENSMUSG00000041216	ENSMUST00000038841	ENSMUSP00000035649	Clvs1	8	ENSRNOG00000006919	ENSRNOP00000073425	ortholog_one2one	97.1751	97.7273	100	100.00	0.0126	0.1903	1	4	9269317	9451691	182374	5	22392732	22578101	185369
ENSMUSG00000036591	ENSMUST00000114594	ENSMUSP00000110241	Arhgap21	18	ENSRNOG00000008659	ENSRNOP00000060787	ortholog_one2one	92.9923	92.9923	50	99.79	0.0334	0.2593	1	2	20847919	20968881	120962	17	87725867	87826421	100554
ENSMUSG00000029602	ENSMUST00000031606	ENSMUSP00000031606	Rasal1	5	ENSRNOG00000001374	ENSRNOP00000001856	ortholog_one2one	95.7447	95.5056	100	100.00	0.0224	0.2461	1	5	120648822	120679597	30775	12	41416218	41448668	32450
ENSMUSG00000057135	ENSMUST00000108534	ENSMUSP00000104174	Scimp	2	ENSRNOG00000037409	ENSRNOP00000053447	ortholog_one2one	82	81.457	100	100.00	0.0943	0.1614	1	11	70790932	70812586	21654	10	57415832	57436368	20536
ENSMUSG00000031132	ENSMUST00000033466	ENSMUSP00000033466	Cd40lg	1	ENSRNOG00000000871	ENSRNOP00000001162	ortholog_one2one	94.6154	94.6154	100	100.00	0.0258	0.1885	1	X	57212143	57224042	11899	X	159703578	159716562	12984
ENSMUSG00000022540	ENSMUST00000023191	ENSMUSP00000023191	Rogdi	10	ENSRNOG00000003125	ENSRNOP00000004176	ortholog_one2one	98.2578	98.2578	100	100.00	0.0092	0.2499	1	16	5008730	5013527	4797	10	10761477	10766095	4618
ENSMUSG00000022686	ENSMUST00000164397	ENSMUSP00000126157	B3gnt5	7	ENSRNOG00000046258	ENSRNOP00000067153	ortholog_one2one	92.2872	92.0424	100	100.00	0.0435	0.2327	1	16	19760234	19772753	12519	11	84919066	84931160	12094
ENSMUSG00000020642	ENSMUST00000020971	ENSMUSP00000020971	Rnf144a	7	ENSRNOG00000007370	ENSRNOP00000009877	ortholog_one2one	99.3151	99.3151	100	100.00	0.0031	0.1759	1	12	26306794	26415254	108460	6	45509787	45629168	119381
ENSMUSG00000023262	ENSMUST00000024031	ENSMUSP00000024031	Acy1	12	ENSRNOG00000011189	ENSRNOP00000015852	ortholog_one2one	93.8726	93.8726	100	100.00	0.0294	0.214	1	9	106432981	106438319	5338	8	115134765	115140080	5315
ENSMUSG00000036181	ENSMUST00000040914	ENSMUSP00000045816	H1f2	1	ENSRNOG00000054978	ENSRNOP00000073681	ortholog_one2one	97.6415	97.6415	25	100.00	0.0107	0.48	1	13	23738808	23740367	1559	17	43639749	43640387	638
ENSMUSG00000026816	ENSMUST00000028157	ENSMUSP00000028157	Gtf3c5	7	ENSRNOG00000010981	ENSRNOP00000015068	ortholog_one2one	94.2308	95.1456	100	100.00	0.0227	0.2265	1	2	28566311	28583279	16968	3	7144250	7164654	20404
ENSMUSG00000054958	ENSMUST00000068262	ENSMUSP00000069422	Nt5c1a	1	ENSRNOG00000015283	ENSRNOP00000020524	ortholog_one2one	97.2603	98.0663	100	100.00	0.0089	0.2419	1	4	123201504	123216275	14771	5	140888973	140904207	15234
ENSMUSG00000028156	ENSMUST00000029803	ENSMUSP00000029803	Eif4e	6	ENSRNOG00000052343	ENSRNOP00000073799	ortholog_one2one	100	100	100	100.00	0	0	1	3	138526179	138559696	33517	2	243820661	243852631	31970
ENSMUSG00000068740	ENSMUST00000090558	ENSMUSP00000088046	Celsr2	7	ENSRNOG00000020058	ENSRNOP00000027263	ortholog_one2one	98.4584	98.4584	100	100.00	0.0073	0.219	1	3	108390851	108415552	24701	2	211183311	211207465	24154
ENSMUSG00000045193	ENSMUST00000054666	ENSMUSP00000052642	Cirbp	7	ENSRNOG00000015999	ENSRNOP00000021648	ortholog_one2one	100	100	100	100.00	0	0	1	10	80167840	80172786	4946	7	12401207	12405022	3815
ENSMUSG00000031093	ENSMUST00000033419	ENSMUSP00000033419	Dock11	5	ENSRNOG00000013321	ENSRNOP00000069314	ortholog_one2one	98.4563	97.8428	50	100.00	0.0071	0.1689	1	X	35888832	36076562	187730	X	122507418	122690465	183047
ENSMUSG00000024795	ENSMUST00000087341	ENSMUSP00000084599	Kif20b	10	ENSRNOG00000018929	ENSRNOP00000051636	ortholog_one2one	88.2187	88.2685	100	100.00	0.0482	0.1961	1	19	34922361	34975735	53374	1	253221813	253275345	53532
ENSMUSG00000033499	ENSMUST00000091829	ENSMUSP00000089437	Larp4b	7	ENSRNOG00000015888	ENSRNOP00000055347	ortholog_one2one	95.9514	96.4722	50	100.00	0.017	0.1184	1	13	9093982	9174451	80469	17	63265444	63313864	48420
ENSMUSG00000038984	ENSMUST00000042021	ENSMUSP00000045542	Tspyl5	1	ENSRNOG00000006278	ENSRNOP00000008227	ortholog_one2one	91.133	90.2439	100	100.00	0.044	0.2216	1	15	33683875	33687884	4009	7	72326896	72328128	1232
ENSMUSG00000019772	ENSMUST00000019906	ENSMUSP00000019906	Vip	2	ENSRNOG00000018808	ENSRNOP00000075997	ortholog_one2one	92.9825	84.127	100	100.00	0.0338	0.1951	1	10	5639218	5647617	8399	1	42170583	42177581	6998
ENSMUSG00000028883	ENSMUST00000195907		Sema3a	9	ENSRNOG00000023337	ENSRNOP00000036472	ortholog_one2one	99.2228	99.2228	100	100.00	0.0035	0.1837	1	5	13125593	13524707	399114	4	18178656	18396035	217379
ENSMUSG00000030510	ENSMUST00000066475	ENSMUSP00000069238	Cers3	2	ENSRNOG00000013823	ENSRNOP00000045234	ortholog_one2one	83.7709	89.7698	100	100.00	0.0407	0.1849	1	7	66743504	66823691	80187	1	127648234	127781017	132783
ENSMUSG00000071014	ENSMUST00000095128	ENSMUSP00000092746	Ndufb6	2	ENSRNOG00000024539	ENSRNOP00000037051	ortholog_one2one	89.0625	89.0625	100	100.00	0.053	0.1797	1	4	40270591	40279421	8830	5	56567109	56576676	9567
ENSMUSG00000069053	ENSMUST00000115894	ENSMUSP00000111560	Uba1y	2	ENSRNOG00000052326	ENSRNOP00000074531	ortholog_one2one	91.966	92.053	50	100.00	0.0408	0.1357	1	Y	818713	844224	25511	Y	422855	445477	22622
ENSMUSG00000022681	ENSMUST00000023362	ENSMUSP00000023362	Ntan1	9	ENSRNOG00000051382	ENSRNOP00000069865	ortholog_one2one	90.6452	90.6452	50	79.10	0.0698	0.2033	1	16	13819251	13835451	16200	10	3218505	3235093	16588
ENSMUSG00000024959	ENSMUST00000025910	ENSMUSP00000025910	Bad	9	ENSRNOG00000021147	ENSRNOP00000028712	ortholog_one2one	96.0784	95.6098	100	100.00	0.0194	0.0733	1	19	6941861	6951899	10038	1	222198534	222207453	8919
ENSMUSG00000038665	ENSMUST00000101532	ENSMUSP00000099071	Dgki	8	ENSRNOG00000026705	ENSRNOP00000034571	ortholog_one2one	97.1055	99.0476	100	100.00	0.0045	0.1158	1	6	36846022	37299974	453952	4	64374342	64831473	457131
ENSMUSG00000027770	ENSMUST00000029336	ENSMUSP00000029336	Dhx36	4	ENSRNOG00000014599	ENSRNOP00000019824	ortholog_one2one	98.002	98.1	75	100.00	0.0086	0.1359	1	3	62468013	62507004	38991	2	152785844	152824547	38703
ENSMUSG00000045246	ENSMUST00000061828	ENSMUSP00000056552	Kcng4	2	ENSRNOG00000015746	ENSRNOP00000021271	ortholog_one2one	95.8498	95.8498	100	100.00	0.0182	0.2458	1	8	119623854	119635680	11826	19	52270927	52282877	11950
ENSMUSG00000036822	ENSMUST00000042575	ENSMUSP00000046843	Topors	1	ENSRNOG00000006485	ENSRNOP00000063561	ortholog_one2one	92.7396	91.9386	100	100.00	0.0361	0.2856	1	4	40259601	40269850	10249	5	56554969	56567320	12351
ENSMUSG00000019146	ENSMUST00000019290	ENSMUSP00000019290	Cacng2	1	ENSRNOG00000006226	ENSRNOP00000008414	ortholog_one2one	100	100	100	100.00	0	0	1	15	77991748	78120028	128280	7	119228102	119352605	124503
ENSMUSG00000005718	ENSMUST00000005862	ENSMUSP00000005862	Tfap4	3	ENSRNOG00000005227	ENSRNOP00000006979	ortholog_one2one	99.4083	99.4083	100	100.00	0.0027	0.1195	1	16	4544661	4559854	15193	10	11206226	11223370	17144
ENSMUSG00000035126	ENSMUST00000106868	ENSMUSP00000102481	Wdr78	8	ENSRNOG00000006999	ENSRNOP00000048851	ortholog_one2one	84.7584	85.1806	100	100.00	0.0847	0.2555	1	4	103038069	103114555	76486	5	122551405	122642202	90797
ENSMUSG00000031461	ENSMUST00000033842	ENSMUSP00000033842	Myom2	5	ENSRNOG00000011754	ENSRNOP00000015908	ortholog_one2one	97.2659	97.1995	100	100.00	0.0132	0.1985	1	8	15057653	15133541	75888	16	79587640	79671719	84079
ENSMUSG00000047989	ENSMUST00000153360	ENSMUSP00000114643	Ino80c	4	ENSRNOG00000016532	ENSRNOP00000022169	ortholog_one2one	97.9058	97.9058	100	100.00	0.0098	0.2058	1	18	24104757	24121953	17196	18	15995000	16009710	14710
ENSMUSG00000028885	ENSMUST00000030709	ENSMUSP00000030709	Smpdl3b	1	ENSRNOG00000042326	ENSRNOP00000062762	ortholog_one2one	88.5965	88.5965	100	100.00	0.0614	0.2672	1	4	132732966	132757252	24286	5	150925370	150949931	24561
ENSMUSG00000028528	ENSMUST00000106930	ENSMUSP00000102543	Dnajc6	8	ENSRNOG00000052887	ENSRNOP00000070493	ortholog_one2one	92.562	95.5224	100	100.00	0.0283	0.2	1	4	101496648	101642799	146151	5	120340646	120492442	151796
ENSMUSG00000032454	ENSMUST00000189446	ENSMUSP00000140676	Rbp2	4	ENSRNOG00000013932	ENSRNOP00000018755	ortholog_one2one	98.5075	98.5075	100	100.00	0.0097	0.2778	1	9	98486115	98509781	23666	8	106503504	106527711	24207
ENSMUSG00000032744	ENSMUST00000040821	ENSMUSP00000040576	Heyl	3	ENSRNOG00000015318	ENSRNOP00000020928	ortholog_one2one	92.9448	92.9448	100	100.00	0.0351	0.1702	1	4	123233556	123249875	16319	5	140923914	140940905	16991
ENSMUSG00000019863	ENSMUST00000020012	ENSMUSP00000020012	Qrsl1	5	ENSRNOG00000026049	ENSRNOP00000018891	ortholog_one2one	92	92	50	100.00	0.0433	0.2752	1	10	43874188	43901745	27557	20	48855914	48881119	25205
ENSMUSG00000086022	ENSMUST00000124065	ENSMUSP00000128854	Rad51ap2	1	ENSRNOG00000049271	ENSRNOP00000065456	ortholog_one2one	80.8402	81.0894	100	99.84	0.1055	0.1704	1	12	11456079	11462928	6849	6	37144787	37151468	6681
ENSMUSG00000023336	ENSMUST00000024107	ENSMUSP00000024107	Wfdc1	2	ENSRNOG00000015904	ENSRNOP00000021630	ortholog_one2one	93.8389	93.3962	100	100.00	0.0324	0.1856	1	8	119666365	119688222	21857	19	52313795	52332697	18902
ENSMUSG00000028609	ENSMUST00000030348	ENSMUSP00000030348	Magoh	2	ENSRNOG00000012778	ENSRNOP00000017421	ortholog_one2one	100	100	100	100.00	0	0	1	4	107879755	107887424	7669	5	127480485	127487603	7118
ENSMUSG00000024958	ENSMUST00000236348	ENSMUSP00000157999	Gpr137	14	ENSRNOG00000021145	ENSRNOP00000028707	ortholog_one2one	99.4949	99.4949	100	100.00	0.0025	0.0775	1	19	6938057	6942480	4423	1	222194266	222197252	2986
ENSMUSG00000040618	ENSMUST00000226519	ENSMUSP00000153733	Pck2	13	ENSRNOG00000018536	ENSRNOP00000025260	ortholog_one2one	80.9595	84.2434	100	100.00	0.1157	0.3261	1	14	55540266	55551242	10976	15	34216833	34224193	7360
ENSMUSG00000061650	ENSMUST00000081980	ENSMUSP00000080641	Med9	1	ENSRNOG00000053961	ENSRNOP00000072869	ortholog_one2one	96.4789	96.4789	100	100.00	0.0151	0.2999	1	11	59948206	59962205	13999	10	46314375	46327924	13549
ENSMUSG00000009563	ENSMUST00000009707	ENSMUSP00000009707	Tor2a	8	ENSRNOG00000022514	ENSRNOP00000030747	ortholog_one2one	92.5234	92.5234	100	100.00	0.034	0.2203	1	2	32757234	32762244	5010	3	11795629	11799693	4064
ENSMUSG00000022130	ENSMUST00000227350	ENSMUSP00000153859	Tgds	4	ENSRNOG00000009661	ENSRNOP00000071162	ortholog_one2one	96.9014	96.9014	100	99.92	0.0164	0.3052	1	14	118111911	118132744	20833	15	103319279	103340240	20961
ENSMUSG00000070639	ENSMUST00000112707	ENSMUSP00000108327	Lrrc8b	1	ENSRNOG00000002129	ENSRNOP00000002897	ortholog_one2one	97.8829	97.8829	100	100.00	0.0109	0.275	1	5	105415775	105490074	74299	14	5418741	5428757	10016
ENSMUSG00000049892	ENSMUST00000062405	ENSMUSP00000051959	Rasd1	1	ENSRNOG00000003348	ENSRNOP00000004475	ortholog_one2one	99.6429	99.6429	100	100.00	0.0015	0.1539	1	11	59963181	59964944	1763	10	46330368	46332172	1804
ENSMUSG00000075377	ENSMUST00000213817	ENSMUSP00000150852	Olfr362	3	ENSRNOG00000007986	ENSRNOP00000010501	ortholog_one2one	95.5836	95.5836	50	100.00	0.0227	0.1613	1	2	37101706	37117783	16077	3	21147944	21148897	953
ENSMUSG00000041556	ENSMUST00000047951	ENSMUSP00000037377	Fbxo2	1	ENSRNOG00000009409	ENSRNOP00000012670	ortholog_one2one	96.2963	96.6216	100	100.00	0.0158	0.2076	1	4	148160621	148166424	5803	5	164972480	164977916	5436
ENSMUSG00000027677	ENSMUST00000099153	ENSMUSP00000096757	Ttc14	12	ENSRNOG00000011261	ENSRNOP00000015192	ortholog_one2one	95.3003	95.0521	75	100.00	0.0228	0.1514	1	3	33799832	33814860	15028	2	120266933	120276616	9683
ENSMUSG00000035451	ENSMUST00000044380	ENSMUSP00000041118	Foxa1	2	ENSRNOG00000009284	ENSRNOP00000009940	ortholog_one2one	93.8034	94.206	100	100.00	0.0213	0.2919	1	12	57540628	57546121	5493	6	78545804	78549669	3865
ENSMUSG00000042197	ENSMUST00000019861	ENSMUSP00000019861	Zfp451	9	ENSRNOG00000012718	ENSRNOP00000017022	ortholog_one2one	88.0682	88.403	100	100.00	0.0613	0.2568	1	1	33761545	33814527	52982	9	38396449	38451656	55207
ENSMUSG00000021598	ENSMUST00000223376	ENSMUSP00000152842	Med10	6	ENSRNOG00000017150	ENSRNOP00000023161	ortholog_one2one	100	100	100	100.00	0	0	1	13	69802395	69813799	11404	1	36107232	36112993	5761
ENSMUSG00000021638	ENSMUST00000069756	ENSMUSP00000065284	Ocln	5	ENSRNOG00000018297	ENSRNOP00000024674	ortholog_one2one	94.4338	94.0727	100	100.00	0.0244	0.3535	1	13	100496507	100552498	55991	2	30527715	30577218	49503
ENSMUSG00000057880	ENSMUST00000065987	ENSMUSP00000063548	Abat	7	ENSRNOG00000002636	ENSRNOP00000003633	ortholog_one2one	97.2	97.2	100	100.00	0.0136	0.1793	1	16	8513429	8621568	108139	10	7093405	7200499	107094
ENSMUSG00000022561	ENSMUST00000023221	ENSMUSP00000023221	Gpaa1	12	ENSRNOG00000029280	ENSRNOP00000050220	ortholog_one2one	96.7794	96.7794	100	100.00	0.0159	0.226	1	15	76331231	76334907	3676	7	117394372	117397956	3584
ENSMUSG00000028089	ENSMUST00000029730	ENSMUSP00000029730	Chd1l	3	ENSRNOG00000017669	ENSRNOP00000048925	ortholog_one2one	93.8889	93.577	100	100.00	0.0335	0.2287	1	3	97560742	97610203	49461	2	199716713	199771896	55183
